condition;sequence;temps
Frustration;2 – 5 – 8 – 11 – 14 – 17 – 20 – ?;30
Frustration;9 – 6 – 18 – 19 – 7 – 5 – 10 – ?;30
Frustration;8 – 11 – 14 – 23 – 30 – 43 – 56 – ?;30
Frustration;15 – 6 – 18 – 8 – 30 – 29 – 9 – ?;30
Frustration;13 – 15 – 18 – 14 – 24 – 25 – 5 – ?;30
Frustration;15 – 19 – 22 – 10 – 15 – 20 – 5 – ?;30
Frustration;11 – 8 – 34 – 14 – 24 – 9 – 5 – ?;30
